Task_ID,Task_Name,Category,Related_Snippets,Github_Path,Notion_Page
API-008,Request Throttling,API Integration,08-request-throttling.py,api-integration/08-request-throttling.py,
API-009,Async API Calls,API Integration,09-async-api-calls.py,api-integration/09-async-api-calls.py,
API-010,Data Validation with Pydantic,API Integration,10-data-validation-pydantic.py,api-integration/10-data-validation-pydantic.py,
API-011,API Versioning,API Integration,11-api-versioning.py,api-integration/11-api-versioning.py,
API-012,Webhook Signature Verification,API Integration,12-webhook-signature-verification.py,api-integration/12-webhook-signature-verification.py,
ML-001,VectorBT Backtesting,ML/AI,01-vectorbt-backtesting.py,ml-ai/01-vectorbt-backtesting.py,
ML-002,Feature Engineering,ML/AI,02-feature-engineering.py,ml-ai/02-feature-engineering.py,
ML-003,Model Training - Scikit-learn,ML/AI,03-model-training-sklearn.py,ml-ai/03-model-training-sklearn.py,
ML-004,Prediction Pipeline,ML/AI,04-prediction-pipeline.py,ml-ai/04-prediction-pipeline.py,
ML-005,Portfolio Optimization,ML/AI,05-portfolio-optimization.py,ml-ai/05-portfolio-optimization.py,
ML-006,Risk Calculation,ML/AI,06-risk-calculation.py,ml-ai/06-risk-calculation.py,
ML-007,Anomaly Detection,ML/AI,07-anomaly-detection.py,ml-ai/07-anomaly-detection.py,
ML-008,Time-Series Forecasting,ML/AI,08-time-series-forecasting.py,ml-ai/08-time-series-forecasting.py,
ML-009,Model Evaluation Metrics,ML/AI,09-model-evaluation-metrics.py,ml-ai/09-model-evaluation-metrics.py,
ML-010,Feature Importance Analysis,ML/AI,10-feature-importance-analysis.py,ml-ai/10-feature-importance-analysis.py,
UI-001,Streamlit Setup,UI/UX,01-streamlit-setup.py,ui-ux/01-streamlit-setup.py,
UI-002,Dashboard Layout,UI/UX,02-dashboard-layout.py,ui-ux/02-dashboard-layout.py,
UI-003,Real-Time Updates,UI/UX,03-real-time-updates.py,ui-ux/03-real-time-updates.py,
UI-004,Chart Library - Plotly,UI/UX,04-chart-library-plotly.py,ui-ux/04-chart-library-plotly.py,
UI-005,Data Table Display,UI/UX,05-data-table-display.py,ui-ux/05-data-table-display.py,
UI-006,Form Input Handling,UI/UX,06-form-input-handling.py,ui-ux/06-form-input-handling.py,
UI-007,Session State Management,UI/UX,07-session-state-management.py,ui-ux/07-session-state-management.py,
UI-008,Caching & Optimization,UI/UX,08-caching-optimization.py,ui-ux/08-caching-optimization.py,
UI-009,Sidebar Navigation,UI/UX,09-sidebar-navigation.py,ui-ux/09-sidebar-navigation.py,
UI-010,Export to PDF/CSV,UI/UX,10-export-pdf-csv.py,ui-ux/10-export-pdf-csv.py,
TEST-001,Pytest Setup,Testing,01-pytest-setup.py,testing/01-pytest-setup.py,
TEST-002,Unit Test Example,Testing,02-unit-test-example.py,testing/02-unit-test-example.py,
TEST-003,Integration Test,Testing,03-integration-test.py,testing/03-integration-test.py,
TEST-004,Mock Trading212 API,Testing,04-mock-trading212-api.py,testing/04-mock-trading212-api.py,
TEST-005,Database Test Fixtures,Testing,05-database-test-fixtures.py,testing/05-database-test-fixtures.py,
TEST-006,Performance Testing,Testing,06-performance-testing.py,testing/06-performance-testing.py,
TEST-007,Coverage Reporting,Testing,07-coverage-reporting.py,testing/07-coverage-reporting.py,
TEST-008,CI/CD Workflow,Testing,08-continuous-integration.py,testing/08-continuous-integration.py,
DEVOPS-001,Docker Setup,DevOps,01-docker-setup.dockerfile,devops/01-docker-setup.dockerfile,
DEVOPS-002,Docker Compose,DevOps,02-docker-compose.yaml,devops/02-docker-compose.yaml,
DEVOPS-003,GitHub Actions Workflow,DevOps,03-github-actions-workflow.yaml,devops/03-github-actions-workflow.yaml,
DEVOPS-004,Health Check Endpoint,DevOps,04-health-check-endpoint.py,devops/04-health-check-endpoint.py,
DEVOPS-005,Logging Configuration,DevOps,05-logging-configuration.py,devops/05-logging-configuration.py,
DEVOPS-006,Metrics - Prometheus,DevOps,06-metrics-prometheus.py,devops/06-metrics-prometheus.py,
DEVOPS-007,Deployment Checklist,DevOps,07-deployment-checklist.md,devops/07-deployment-checklist.md,
TAX-001,Capital Gains Calculation,Tax Logic,01-capital-gains-calculation.py,tax-logic/01-capital-gains-calculation.py,
TAX-002,Cost Basis Tracking,Tax Logic,02-cost-basis-tracking.py,tax-logic/02-cost-basis-tracking.py,
TAX-003,Wash Sale Detection,Tax Logic,03-wash-sale-detection.py,tax-logic/03-wash-sale-detection.py,
TAX-004,Tax Report Generation,Tax Logic,04-tax-report-generation.py,tax-logic/04-tax-report-generation.py,
TAX-005,Dividend Tracking,Tax Logic,05-dividend-tracking.py,tax-logic/05-dividend-tracking.py,
TAX-006,CGT Exemption Calculator,Tax Logic,06-cgt-exemption-calculator.py,tax-logic/06-cgt-exemption-calculator.py,
DOC-001,API Endpoint Documentation,Documentation,01-api-endpoint-template.md,documentation/01-api-endpoint-template.md,
DOC-002,Setup Guide,Documentation,02-setup-guide.md,documentation/02-setup-guide.md,
DOC-003,Architecture Overview,Documentation,03-architecture-overview.md,documentation/03-architecture-overview.md,
DOC-004,Troubleshooting Guide,Documentation,04-troubleshooting-guide.md,documentation/04-troubleshooting-guide.md,
